creature space: 400 random genomes + 2 references, 8 seeds x 18000 frames each
scene: scarce food (2 trees), 52 ants, 4 beetles, generated terrain

genome      survival  travelled   commute   feeding   depth
r127           0.287        0.0     0.000     0.000    -1.0
r128           0.272        6.5     0.271     0.000    -1.1
r129           0.415       18.3     0.905     0.560    -1.6
r130           0.314        0.0     0.000     0.000    -1.0
r131           0.288        0.0     0.000     0.000    -1.0
r132           0.111       38.7     0.067     0.000    -3.2
r133           0.231       16.2     0.097     0.000    -2.4
r134           0.342        0.0     0.000     0.317    -1.0
r135           0.289        0.0     0.000     0.000    -1.0
r136           0.311        5.4     0.000     0.298    -1.7
r137           0.298        0.0     0.000     0.000    -1.0
r138           0.243       11.1     0.068     0.000    -1.9
r139           0.185       30.4     0.057     0.724    -3.1
r140           0.283        0.0     0.000     0.000    -1.0
r141           0.471       13.2     0.285     0.274    -2.0
r142           0.284        2.5     0.000     0.000    -1.0
r143           0.289        0.0     0.000     0.000    -1.0
r144           0.360        0.0     0.000     0.312    -1.0
r145           0.132       37.7     0.056     0.719    -1.7
r146           0.145       37.6     0.076     0.000    -3.1
r147           0.417        0.0     0.000     0.370    -1.0
r148           0.290        0.0     0.000     0.000    -1.0
r149           0.283        0.0     0.000     0.000    -1.0
r150           0.312        0.0     0.000     0.363    -1.0
r151           0.297        0.0     0.000     0.000    -1.0
r152           0.297        0.0     0.000     0.000    -1.0
r153           0.282        5.9     0.111     0.000    -1.6
r154           0.297        0.0     0.000     0.312    -1.0
r155           0.160       41.9     0.103     0.017    -3.6
r156           0.294        0.0     0.000     0.000    -1.0
r157           0.248       12.5     0.075     0.007    -0.8
r158           0.283       18.2     0.828     0.000    -1.6
r159           0.127       44.6     0.058     0.721    -1.4
r160           0.298        0.0     0.000     0.000    -1.0
r161           0.292        0.0     0.000     0.000    -1.0
r162           0.327        2.6     0.378     0.375    -1.1
r163           0.295        0.0     0.000     0.000    -1.0
r164           0.291        0.0     0.000     0.000    -1.0
r165           0.281        0.0     0.000     0.000    -1.0
r166           0.160       33.2     0.076     0.000    -3.3
r167           0.295        0.0     0.000     0.000    -1.0
r168           0.295        0.0     0.000     0.000    -1.0
r169           0.201       23.1     0.077     0.000    -2.6
r170           0.297        0.0     0.000     0.048    -1.0
r171           0.290        0.0     0.000     0.000    -1.0
r172           0.295        0.0     0.000     0.000    -1.0
r173           0.111       43.4     0.061     0.000    -3.2
r174           0.296        0.0     0.000     0.000    -1.0
r175           0.282       17.6     0.916     0.000    -1.5
r176           0.194       28.1     0.047     0.000    -2.7
r177           0.282        0.0     0.000     0.000    -1.0
r178           0.297        0.0     0.000     0.000    -1.0
r179           0.287        0.0     0.000     0.000    -1.0
r180           0.135       32.5     0.057     0.000    -3.1
r181           0.140       35.4     0.069     0.000    -1.8
r182           0.377        0.0     0.000     0.346    -1.0
r183           0.220       24.8     0.083     0.469     0.1
r184           0.293        0.0     0.000     0.000    -1.0
r185           0.194       19.8     0.055     0.000    -3.0
r186           0.156       36.5     0.060     0.659    -2.9
r187           0.238       15.6     0.112     0.000    -1.5
r188           0.290       45.2     0.053     0.781    -2.2
r189           0.269        9.7     0.028     0.000    -1.2
r190           0.282       18.5     0.896     0.000    -1.5
r191           0.389        0.0     0.000     0.332    -1.0
r192           0.295        0.0     0.000     0.000    -1.0
r193           0.263        9.1     0.150     0.000    -1.2
r194           0.290        0.0     0.000     0.000    -1.0
r195           0.164       31.4     0.063     0.000    -3.4
r196           0.471       30.0     0.877     0.620    -2.5
r197           0.181       39.2     0.122     0.000    -3.0
r198           0.284        0.0     0.000     0.000    -1.0
r199           0.310       21.8     0.061     0.264    -4.1
r200           0.285        0.0     0.000     0.000    -1.0
r201           0.444       24.2     0.879     0.377    -2.1
r202           0.292        0.0     0.000     0.000    -1.0
r203           0.343        0.0     0.000     0.363    -1.0
r204           0.260       13.7     0.000     0.000    -1.2
r205           0.294        0.0     0.000     0.000    -1.0
r206           0.316        0.0     0.000     0.344    -1.0
r207           0.442        0.0     0.000     0.334    -1.0
r208           0.366       56.4     0.100     0.584    -3.8
r209           0.413        0.0     0.000     0.368    -1.0
r210           0.293        0.0     0.000     0.000    -1.0
r211           0.345        0.0     0.000     0.344    -1.0
r212           0.289        0.0     0.000     0.000    -1.0
r213           0.288        0.0     0.000     0.000    -1.0
r214           0.293        5.8     0.000     0.329    -1.7
r215           0.267       23.2     0.000     0.288    -1.4
r216           0.281       29.5     0.777     0.062    -1.8
r217           0.292        0.0     0.000     0.000    -1.0
r218           0.280        3.6     0.000     0.000    -1.3
r219           0.290        0.0     0.000     0.000    -1.0
r220           0.365       43.5     0.036     0.779    -4.6
r221           0.284        0.0     0.000     0.000    -1.0
r222           0.290        0.0     0.000     0.000    -1.0
r223           0.287        0.0     0.000     0.000    -1.0
r224           0.297        0.0     0.000     0.000    -1.0
r225           0.292        0.0     0.000     0.000    -1.0
r226           0.295        0.0     0.000     0.000    -1.0
r227           0.394       28.3     0.100     0.562     0.4
r228           0.140       29.8     0.051     0.000    -3.1
r229           0.254       13.1     0.038     0.000    -1.6
r230           0.380        0.0     0.000     0.344    -1.0
r231           0.281        0.0     0.000     0.000    -1.0
r232           0.279        0.0     0.000     0.000    -1.0
r233           0.278        0.0     0.000     0.000    -1.0
r234           0.276        0.3     0.000     0.000    -1.0
r235           0.304        7.5     0.000     0.308    -1.8
r236           0.292        0.0     0.000     0.000    -1.0
r237           0.401       41.1     0.034     0.779    -3.4
r238           0.275        6.4     0.000     0.000    -1.6
r239           0.150       32.5     0.066     0.000    -3.7
r240           0.311        0.0     0.000     0.365    -1.0
r241           0.276        7.2     0.000     0.002    -1.5
r242           0.289        0.0     0.000     0.000    -1.0
r243           0.216       21.8     0.081     0.603    -2.5
r244           0.166       32.1     0.066     0.000    -3.3
r245           0.289        0.0     0.000     0.000    -1.0
r246           0.285        0.0     0.000     0.000    -1.0
r247           0.128       38.2     0.057     0.668    -0.9
r248           0.292        0.0     0.000     0.000    -1.0
r249           0.282        0.0     0.000     0.000    -1.0
r250           0.316        0.0     0.000     0.361    -1.0
r251           0.274        6.2     0.108     0.000    -1.0
r252           0.294        0.0     0.000     0.000    -1.0
r253           0.270       12.8     0.272     0.000    -1.7
r254           0.286        0.0     0.000     0.000    -1.0
r255           0.297        0.0     0.000     0.000    -1.0
r256           0.290        0.0     0.000     0.000    -1.0
r257           0.290        0.0     0.000     0.000    -1.0
r258           0.291        0.0     0.000     0.000    -1.0
r259           0.247       23.6     0.089     0.524    -1.4
r260           0.291        0.0     0.000     0.000    -1.0
r261           0.436        0.0     0.000     0.363    -1.0
r262           0.428        0.0     0.000     0.375    -1.0
r263           0.344        0.0     0.000     0.370    -1.0
r264           0.297        0.0     0.000     0.000    -1.0
r265           0.294        0.0     0.000     0.000    -1.0
r266           0.294        3.6     0.000     0.382    -1.1
r267           0.279        5.3     0.000     0.000    -1.5
r268           0.259        8.9     0.113     0.000    -1.1
r269           0.443       34.5     0.071     0.589    -3.5
r270           0.115       45.0     0.073     0.000    -3.3
r271           0.295        0.0     0.000     0.000    -1.0
r272           0.429        0.0     0.000     0.370    -1.0
r273           0.293        0.0     0.000     0.000    -1.0
r274           0.314        0.0     0.000     0.365    -1.0
r275           0.277        4.8     0.076     0.000    -1.5
r276           0.296        6.0     0.005     0.286    -1.8
r277           0.298        0.0     0.000     0.000    -1.0
r278           0.316        0.0     0.000     0.048    -1.0
r279           0.291        0.0     0.000     0.000    -1.0
r280           0.317        0.0     0.000     0.245    -1.0
r281           0.182       59.1     0.120     0.630    -3.7
r282           0.296        0.0     0.000     0.000    -1.0
r283           0.246       29.5     0.309     0.000    -1.5
r284           0.290        0.0     0.000     0.000    -1.0
r285           0.284        0.0     0.000     0.000    -1.0
r286           0.307        0.0     0.000     0.334    -1.0
r287           0.289        0.0     0.000     0.000    -1.0
r288           0.149       28.3     0.063     0.000    -3.3
r289           0.311        0.0     0.000     0.368    -1.0
r290           0.155       26.3     0.057     0.000    -3.3
r291           0.364        0.0     0.000     0.373    -1.0
r292           0.286        9.9     0.930     0.000    -1.3
r293           0.316        0.0     0.000     0.368    -1.0
r294           0.290        0.0     0.000     0.000    -1.0
r295           0.290        0.0     0.000     0.000    -1.0
r296           0.297        0.0     0.000     0.000    -1.0
r297           0.294       19.1     0.866     0.459    -1.9
r298           0.103       52.0     0.086     0.000    -3.7
r299           0.358        0.0     0.000     0.363    -1.0
r300           0.164       30.7     0.074     0.002    -3.7
r301           0.303        4.1     0.000     0.380    -1.2
r302           0.292        0.0     0.000     0.000    -1.0
r303           0.286        2.7     0.000     0.000    -1.2
r304           0.295        0.0     0.000     0.000    -1.0
r305           0.311        0.0     0.000     0.363    -1.0
r306           0.294        0.0     0.000     0.000    -1.0
r307           0.297        0.0     0.000     0.000    -1.0
r308           0.292        0.0     0.000     0.000    -1.0
r309           0.294        0.0     0.000     0.000    -1.0
r310           0.385       46.4     0.039     0.750    -4.2
r311           0.297        0.0     0.000     0.000    -1.0
r312           0.283        4.4     0.000     0.000    -1.2
r313           0.309        0.0     0.000     0.339    -1.0
r314           0.312        0.0     0.000     0.269    -1.0
r315           0.310        0.0     0.000     0.048    -1.0
r316           0.290        0.0     0.000     0.000    -1.0
r317           0.298       16.1     0.941     0.423    -1.4
r318           0.292        0.0     0.000     0.000    -1.0
r319           0.262       14.1     0.279     0.000    -1.6
r320           0.292        0.0     0.000     0.000    -1.0
r321           0.287       21.9     0.905     0.000    -1.6
r322           0.292        0.0     0.000     0.000    -1.0
r323           0.213       17.4     0.063     0.000    -2.8
r324           0.278        1.2     0.000     0.000    -1.0
r325           0.276        3.6     0.197     0.005    -1.1
r326           0.313        0.0     0.000     0.368    -1.0
r327           0.183       26.0     0.061     0.060    -3.3
r328           0.428       10.4     0.957     0.334    -1.2
r329           0.290        0.0     0.000     0.000    -1.0
r330           0.125       40.1     0.071     0.000    -3.1
r331           0.284        0.0     0.000     0.000    -1.0
r332           0.259        9.8     0.063     0.000    -2.0
r333           0.297        0.0     0.000     0.000    -1.0
r334           0.297        0.0     0.000     0.000    -1.0
r335           0.296        0.0     0.000     0.000    -1.0
r336           0.283        0.0     0.000     0.000    -1.0
r337           0.282        0.0     0.000     0.000    -1.0
r338           0.259        8.7     0.077     0.000    -1.2
r339           0.297        3.1     0.000     0.262    -1.2
r340           0.245       13.1     0.072     0.000    -1.2
r341           0.291        0.0     0.000     0.000    -1.0
r342           0.285        0.0     0.000     0.000    -1.0
r343           0.128       48.7     0.087     0.000    -3.6
r344           0.132       46.4     0.093     0.000    -3.2
r345           0.285        0.0     0.000     0.000    -1.0
r346           0.362        0.0     0.000     0.154    -1.0
r347           0.316       15.4     0.042     0.404    -2.3
r348           0.295        0.0     0.000     0.000    -1.0
r349           0.158       75.3     0.100     0.748    -3.5
r350           0.296        4.6     0.000     0.349    -1.6
r351           0.409        0.0     0.000     0.317    -1.0
r352           0.219       15.0     0.062     0.000    -2.7
r353           0.396        0.0     0.000     0.353    -1.0
r354           0.455       22.0     0.897     0.562    -1.4
r355           0.284        0.0     0.000     0.000    -1.0
r356           0.161       26.3     0.059     0.000    -3.4
r357           0.368        0.0     0.000     0.365    -1.0
r358           0.273        7.7     0.105     0.000    -1.2
r359           0.289        0.0     0.000     0.000    -1.0
r360           0.295        0.0     0.000     0.000    -1.0
r361           0.456       34.7     0.038     0.779    -1.9
r362           0.289        0.0     0.000     0.000    -1.0
r363           0.137       31.7     0.060     0.000    -3.3
r364           0.280        0.0     0.000     0.000    -1.0
r365           0.297        0.0     0.000     0.000    -1.0
r366           0.288        0.0     0.000     0.000    -1.0
r367           0.286        0.0     0.000     0.000    -1.0
r368           0.285        4.9     0.000     0.000    -1.2
r369           0.298        0.0     0.000     0.000    -1.0
r370           0.179       52.0     0.056     0.351    -4.1
r371           0.288       12.7     0.947     0.000    -1.3
r372           0.289        0.0     0.000     0.000    -1.0
r373           0.225       16.7     0.059     0.000    -1.5
r374           0.283        0.0     0.000     0.000    -1.0
r375           0.469        6.0     0.682     0.394    -1.1
r376           0.286        0.0     0.000     0.000    -1.0
r377           0.309        0.0     0.000     0.317    -1.0
r378           0.292        0.0     0.000     0.000    -1.0
r379           0.280        5.9     0.000     0.000    -1.5
r380           0.382        0.0     0.000     0.344    -1.0
r381           0.131       38.3     0.063     0.000    -3.2
r382           0.241       13.5     0.094     0.000    -1.8
r383           0.286        6.6     0.926     0.000    -1.2
r384           0.282       11.0     0.972     0.000    -1.3
r385           0.289        0.0     0.000     0.000    -1.0
r386           0.280        5.1     0.118     0.000    -1.1
r387           0.294        0.0     0.000     0.000    -1.0
r388           0.316        0.0     0.000     0.365    -1.0
r389           0.294        0.0     0.000     0.000    -1.0
r390           0.141       32.2     0.057     0.000    -3.2
r391           0.206       24.7     0.102     0.000    -3.7
r392           0.180       49.9     0.052     0.502    -4.7
r393           0.279        4.5     0.000     0.010    -1.2
r394           0.280       20.5     0.910     0.036    -1.5
r395           0.154       32.4     0.059     0.099    -2.9
r396           0.294        0.0     0.000     0.000    -1.0
r397           0.292        0.0     0.000     0.000    -1.0
r398           0.290        4.4     0.000     0.000    -1.4
r399           0.358        0.0     0.000     0.262    -1.0

--- spread across 400 random genomes ---
                  min   median      max   spread
survival        0.103    0.290    0.541    0.438
travelled       0.000    0.000   75.324   75.324
commute         0.000    0.000    0.979    0.979
feeding         0.000    0.000    0.781    0.781
depth          -4.658   -1.000    0.358    5.017

--- behaviour space: 26 of 81 cells occupied (3 bins on each of travelled, commute, feeding, depth) ---
  cell [0, 0, 0, 0]  best r391 at survival 0.206
  cell [0, 0, 0, 1]  best r069 at survival 0.296
  cell [0, 0, 0, 2]  best r346 at survival 0.362
  cell [0, 0, 1, 0]  best r199 at survival 0.310
  cell [0, 0, 1, 1]  best r141 at survival 0.471
  cell [0, 0, 1, 2]  best r059 at survival 0.447
  cell [0, 0, 2, 1]  best r029 at survival 0.541
  cell [0, 1, 1, 1]  best r053 at survival 0.303
  cell [0, 1, 1, 2]  best r162 at survival 0.327
  cell [0, 2, 0, 1]  best r371 at survival 0.288
  cell [0, 2, 0, 2]  best r383 at survival 0.286
  cell [0, 2, 1, 1]  best r201 at survival 0.444
  cell [0, 2, 1, 2]  best r375 at survival 0.469
  cell [0, 2, 2, 1]  best r354 at survival 0.455
  cell [1, 0, 0, 0]  best r327 at survival 0.183
  cell [1, 0, 0, 1]  best r283 at survival 0.246
  cell [1, 0, 1, 0]  best r392 at survival 0.180
  cell [1, 0, 2, 0]  best authored at survival 0.504
  cell [1, 0, 2, 1]  best r361 at survival 0.456
  cell [1, 0, 2, 2]  best r227 at survival 0.394
  cell [1, 2, 0, 1]  best r216 at survival 0.281
  cell [1, 2, 2, 1]  best r017 at survival 0.476
  cell [2, 0, 0, 0]  best r100 at survival 0.188
  cell [2, 0, 1, 0]  best r370 at survival 0.179
  cell [2, 0, 2, 0]  best r208 at survival 0.366
  cell [2, 1, 0, 1]  best r002 at survival 0.220

Read this as: occupied cells = distinguishable ways of being an ant that the
system actually produced. One or two means the space is degenerate however
many weights it has; a spread means selection has something to act on.
