scenes: scene=s2 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=trail

S2 wall of height 1
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
    12        78       78   75.6%    0.0%   24.4%    0.0%     12     36      0.00       3
    13        81       81   75.3%    0.0%   24.7%    0.0%     12     38      0.00       4
    14       112      112   62.5%    0.0%   37.5%    0.0%     12     63      0.00       7
    15        95       95   65.3%    0.0%   34.7%    0.0%     12     54      0.00       6
    16       113      113   60.2%    0.0%   39.8%    0.0%     12     61      0.00       8
    17       102      102   61.8%    0.0%   38.2%    0.0%     12     56      0.00       3
    18        89       89   67.4%    0.0%   32.6%    0.0%     12     32      0.00      10
    19       885      885   35.3%    0.0%   64.7%    0.0%     12     74      0.00      22
    20        94       94   63.8%    0.0%   36.2%    0.0%     12     45      0.00       5
    21        98       98   60.2%    0.0%   39.8%    0.0%     12     39      0.00       6
    22        91       91   68.1%    0.0%   31.9%    0.0%     12     44      0.00       6
    23        87       87   70.1%    0.0%   29.9%    0.0%     12     40      0.00       3
    24       125      125   57.6%    0.0%   42.4%    0.0%     12     80      0.00       9
  S2 wall of height 12: arrived 24 of 24 (median 98 decisions) | step 54.0%  tumble 0.0%  idle 46.0%  blocked 0.0% | facing home 38.7% (p_move 0.76), away 31.3% (p_move 0.21) | re-roll fired 0, 0 of them pointing away | longest stand-still 22 decisions | chooser stepped 2023, 523 of them pointing away, patience fell to 0.000
