# S2 per-decision dumps, 2026-09-23: the stuck runs, read decision by decision

## wall height 12, seed 1, decisions 3000-3023
    dump, seed 1: decision frame head -> head_after heading -> after | usable | home_aligned p_move stillness | outcome homeward home_cos
## wall height 2, seed 8, decisions 3000-3023
    dump, seed 8: decision frame head -> head_after heading -> after | usable | home_aligned p_move stillness | outcome homeward home_cos
     3000  18006 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3001  18012 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3002  18018 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3003  18024 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3004  18030 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3005  18036 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3006  18042 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3007  18048 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3008  18054 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3009  18060 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3010  18066 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3011  18072 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3012  18078 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3013  18084 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3014  18090 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
